,Time,DM,SM,Type,APPID,datset,goID,stNum,sqNum,Data_1,Data_2
0,"May  9, 2019 07:41:32.513999998 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10CTRL/LLN0$Status,LIED10CTRL/LLN0$Status,1,0,1,1
1,"May  9, 2019 07:41:32.514999985 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10PROT/LLN0$Alarm,LIED10PROT/LLN0$Alarm,1,0,0,1
2,"May  9, 2019 07:41:32.516999959 UTC",1,1,0x88b8,1000,LIED10MEAS/LLN0$Measurement,LIED10MEAS/LLN0$Measurement,1,0,313,308
3,"May  9, 2019 07:41:32.519999980 UTC",1:00:01,0.92607,0x88b8,1000,LIED11CTRL/LLN0$Status,LIED11CTRL/LLN0$Status,1,0,1,1
4,"May  9, 2019 07:41:32.523999989 UTC",1:00:01,0.926064815,0x88b8,1000,LIED11PROT/LLN0$Alarm,LIED11PROT/LLN0$Alarm,1,0,0,1
5,"May  9, 2019 07:41:32.528999984 UTC",1:00:01,0.926064815,0x88b8,1000,LIED11MEAS/LLN0$Measurement,LIED11MEAS/LLN0$Measurement,1,0,310,305
6,"May  9, 2019 07:41:32.538999974 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12CTRL/LLN0$Status,LIED12CTRL/LLN0$Status,1,0,1,1
7,"May  9, 2019 07:41:32.539999961 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12PROT/LLN0$Alarm,LIED12PROT/LLN0$Alarm,1,0,0,1
8,"May  9, 2019 07:41:32.541999995 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12MEAS/LLN0$Measurement,LIED12MEAS/LLN0$Measurement,1,0,311,307
9,"May  9, 2019 07:41:32.543999969 UTC",1:00:01,0.926041667,0x88b8,1000,LIED20CTRL/LLN0$Status,LIED20CTRL/LLN0$Status,1,0,1,1
